Date,Rio Chama Basin_Snow Depth,Rio Chama Basin_Medium Snow Depth,Rio Chama Basin_Percent of Median, Upper Rio Grande Basin_Snow Depth,Upper Rio Grande Basin_Medium Snow Depth,Upper Rio Grande Basin_Percent of Median,  Sangre Decristo Basin_Snow Depth,Sangre Decristo Basin_Medium Snow Depth,Sangre Decristo Basin_Percent of Median, Jemez River Basin_Snow Depth,Jemez River Basin_Medium Snow Depth,Jemez River Basin_Percent of Median, San Juan River Basin_Snow Depth,San Juan River Basin_Medium Snow Depth,San Juan River Basin_Percent of Median
2007-12-03,,,96,,,94,,,77,,,28,,,84
2007-12-10,,,182,,,149,,,114,,,93,,,131
2007-12-17,,,180,,,160,,,129,,,118,,,147
2007-12-26,,,158,,,151,,,125,,,95,,,142
2008-01-02,,,142,,,143,,,121,,,83,,,134
2008-01-07,,,182,,,170,,,132,,,107,,,157
2008-01-09,,,187,,,173,,,142,,,116,,,158
2008-01-14,,,178,,,167,,,135,,,106,,,153
2008-01-23,,,157,,,156,,,131,,,93,,,146
2008-01-28,,,163,,,164,,,131,,,98,,,155
2008-02-04,,,187,,,185,,,153,,,112,,,169
2008-02-11,,,181,,,176,,,155,,,112,,,159
2008-02-18,,,170,,,170,,,147,,,105,,,157
2008-02-25,,,173,,,170,,,154,,,125,,,159
2008-03-03,,,163,,,162,,,147,,,118,,,149
2008-03-10,,,155,,,154,,,144,,,111,,,141
2008-03-17,,,149,,,148,,,139,,,105,,,136
2008-03-24,,,142,,,143,,,132,,,96,,,130
2008-03-31,,,134,,,136,,,113,,,67,,,127
2008-04-07,,,126,,,131,,,91,,,40,,,126
2008-04-11,,,129,,,129,,,103,,,42,,,124
2008-04-14,,,132,,,131,,,112,,,43,,,124
2008-04-21,,,129,,,130,,,105,,,4,,,126
2008-04-28,,,116,,,124,,,86,,,0,,,123
2008-05-05,,,115,,,121,,,72,,,0,,,118
2008-05-12,,,102,,,112,,,75,,,0,,,113
2008-05-19,,,94,,,109,,,112,,,0,,,107
2008-05-27,,,96,,,108,,,138,,,0,,,113
2008-06-01,,,0,,,96,,,136,,,0,,,99
2008-12-02,,,74,,,39,,,60,,,47,,,28
2008-12-08,,,65,,,36,,,58,,,39,,,26
2008-12-15,,,101,,,60,,,95,,,74,,,44
2008-12-17,,,138,,,80,,,128,,,127,,,61
2008-12-23,,,170,,,112,,,140,,,145,,,94
2008-12-29,,,195,,,143,,,164,,,141,,,126
2009-01-05,,,189,,,143,,,161,,,143,,,127
2009-01-12,13.7,7.9,173,13.5,9.9,137,8.1,5.3,152,7.1,5.4,131,15.6,12.8,122
2009-01-20,13.8,8.9,154,13.5,10.7,126,8.1,5.8,140,7.1,6.1,116,15.6,13.8,113
2009-01-26,14.9,9.7,154,14.5,11.4,128,7.7,5.8,133,7.1,6.6,107,16.6,14.6,114
2009-02-02,15.1,10.6,143,14.9,12.2,122,8,6.2,129,6.9,7.3,95,17.1,15.6,110
2009-02-09,15.8,11.6,137,15.3,12.7,121,8.3,6.6,125,7.3,8,91,18.1,16.9,107
2009-02-16,16.9,12.5,135,16.7,14,119,8.6,7.1,121,7.6,8.6,88,19.4,18,108
2009-02-23,17.2,13.5,128,17,15,113,9.2,8.1,114,7.6,9.2,83,19.6,19.3,102
2009-03-02,17.7,14.5,122,17.4,16,109,8.5,8.1,105,6.9,9.7,71,20.5,20.6,100
2009-03-11,18.6,15.7,119,18.1,16.7,108,9.6,9.5,101,6.3,10.6,59,22,22.6,97
2009-03-16,19,16.3,116,18.6,17.9,104,9.7,9.9,99,6.1,11,56,22.1,23.2,95
2009-03-26,17.3,17.2,101,17.6,19.1,92,6.9,9.4,73,3.4,11.3,30,21.6,25.1,86
2009-03-30,18.2,17.3,105,18.4,19.3,95,7.8,9.7,80,3.6,11.3,32,22.2,25.3,88
2009-04-06,19.5,17.4,112,19.5,19.9,98,8.8,10.5,83,2.9,10.7,27,23.6,26.2,90
2009-04-13,20,17,117,20.2,20.8,97,9,9.8,92,2.2,9.2,24,24,26.9,89
2009-04-20,19.3,15.8,122,20.8,19.7,105,9.6,9.1,105,1.2,7.3,16,25.2,27.1,93
2009-04-27,13.5,13.7,98,18.6,19,98,5.5,6.1,90,0.1,5.3,1,22.7,26.6,85
2009-05-04,10.1,10.9,93,15.3,17.7,86,4,5.2,76,0.1,3,2,19,25.6,74
2009-12-07,2.9,3.8,79,3.2,6,54,2,2.8,74,0.8,2.2,35,4.1,8.6,48
2009-12-14,6.9,4.5,152,7.7,6.7,115,3.5,3.2,108,2.4,2.8,87,8.9,9,99
2009-12-21,6.9,5.3,131,7.8,7.5,104,3.4,3.6,95,2.4,3.4,70,9.1,9.9,92
2009-12-28,7.2,6,119,8,8.2,98,3.7,4,91,2.8,4,70,9.4,10.7,88
2010-01-04,7.9,7,113,8.4,9,93,4,4.5,87,3.5,4.7,76,9.5,11.8,81
2010-01-11,8,7.8,102,8.4,9.8,86,3.9,5.1,77,3.6,5.3,69,9.6,12.7,76
2010-01-19,8.1,8.8,92,8.5,10.6,81,4.1,5.6,72,4.2,6,69,9.8,13.7,71
2010-01-25,11.9,9.6,125,12.8,11.3,114,6,5.9,101,7,6.6,107,14.9,14.5,103
2010-02-01,12.6,10.5,121,13.5,12.1,112,6.5,6.1,106,7.8,7.2,108,16.3,15.5,105
2010-02-08,13.6,11.4,120,14.4,12.9,111,7.3,6.6,111,8.4,7.9,106,17.2,16.6,104
2010-02-15,13.9,12.4,112,14.6,13.9,105,7.6,7,108,8.5,8.5,100,17.6,17.8,99
2010-02-22,15.7,13.3,117,16.7,14.8,112,8.2,7.5,109,9.3,9.1,103,20.3,19.1,107
2010-03-01,16.1,13.8,117,17,15.2,112,8.8,7.7,114,9.9,9.3,106,20.8,19.7,106
2010-03-08,17.2,15.4,112,18.4,17,108,9.8,8.7,113,10.6,10.5,101,22.5,22,102
2010-03-15,18.8,16.2,116,19.4,17.8,109,11.5,9.1,126,12.3,10.9,113,23.7,23,103
2010-03-22,19.4,16.9,115,19.8,18.6,107,12.5,9.5,131,12.4,11.2,110,23.8,24.2,99
2010-03-29,20.1,17.3,116,20.4,19.3,106,13.9,10.5,132,12.3,11.3,109,24.2,25.1,96
2010-04-01,19.9,17.4,115,20.4,19.5,105,13.7,10.6,129,11.3,11.2,101,24.1,25.6,94
